Nice product Nice productGo for it
"Best product ,Fast cooling Fraser ,No noice. I like this product__________"
"Good Product I don't know why, but this product has low ratings. I ordered it because this product was of 2020 release. On the other hand, all other products were 2016, 2017 releases.Coming to the product::It does what it is supposed to do. At a budget of 20K, no other product comes even close to the features provided by this refrigerator. I see people complaining about, display not provided on the door. But that is a bit of misinformation from Samsung and not the seller. If you can ignore it, then just go for this refrigerator."
Very nice 👌👍 Very nice
"Cooling efficiency not good product Cooling is not consistent. Despite being a digital inverter model, voltage fluctuations are causing cooling to be very low even in highest setting. i have complained to samsung and they said nothing can be done. Asked me to buy a booster stabilizer for rs 5800. Then whats the use of Digital Inverter inside."
Good product Good product.
Value for money. Value for money product
Great Great built quality
Colour grey is very pretty Color is good its refrigerator is very good💝
"Storage Chamber The storage capacity of the freezer could have been smaller, giving room for one additional shelf in the cooling chamber below. But that's a Samsung design - no cribbing."
Nice Good
Good brand good product Good product and good service of Amazon
Ice twister tray as shown in the image is not delivered The ice twister tray is missingTell me what to do
Damaged product received Damaged product
Wow Good to use. Nice standerd qualityNice brand new good to small familyIce maker and another spasalization Samsung 5
There is no digital display. In information given Digital Display controllerBut on actual product there is none why?
Digital display missing on refrigerator in review images I saw in reviews image there is no digital display on refrigerator .which model provides digital display control. Amazon should provided clear information
"Value for money Nice , value of money digital inverter system will reduce electricity usage new simple design and best space managing product"
Excellent Its really useful for big family .
"Very good.  The product was delivered on time and was as per the description As always Amazon delivery was on time. The product was fine with no damages, and as per the description. Value for money"
